item_id,order_id,product_id,quantity,unit_price,discount_percent
1,927,247,5,5778.23,9.21
2,158,252,1,1171.05,0.24
3,800,220,4,329.22,38.44
4,240,484,1,8273.91,42.44
5,388,74,3,749.63,45.54
6,282,308,2,5805.97,13.36
7,418,490,5,7156.63,19.36
8,272,52,2,9556.47,3.82
9,291,345,5,7732.05,45.78
10,449,161,2,8536.36,2.89
11,691,367,3,1074.19,25.97
12,827,90,5,8912.32,33.7
13,123,248,4,3294.78,18.98
14,338,55,1,8865.34,2.05
15,495,350,1,8454.37,5.6
16,374,282,5,2517.99,1.54
17,509,2,4,8836.29,34.61
18,71,448,3,1530.12,14.97
19,278,249,3,2696.74,0.78
20,110,222,4,5353.23,34.75
21,225,467,2,1520.02,25.16
22,751,391,4,1433.1,37.16
23,51,438,3,8312.43,8.19
24,449,347,5,5924.63,39.38
25,278,147,3,1596.67,45.75
26,462,350,4,2235.38,43.55
27,970,103,2,3739.97,42.43
28,805,331,3,6387.09,6.54
29,132,10,1,8859.86,14.5
30,135,194,5,9465.0,47.81
31,397,395,4,1754.33,31.96
32,179,29,1,6753.42,41.7
33,45,22,4,1543.42,17.91
34,838,456,5,7403.36,14.46
35,180,212,4,7223.94,47.1
36,494,297,1,2905.88,9.36
37,989,131,3,2966.03,25.62
38,189,228,3,7727.27,11.49
39,403,125,1,2048.65,7.95
40,661,148,2,5419.8,5.84
41,492,240,4,1323.35,42.83
42,696,372,4,7007.67,12.72
43,738,152,1,2811.29,49.41
44,753,320,2,6913.33,22.71
45,767,479,1,7610.4,18.8
46,426,472,4,1013.99,42.94
47,291,116,2,629.19,26.69
48,165,30,3,6845.51,35.89
49,477,224,5,300.58,22.41
50,919,214,5,6710.49,46.34
51,508,39,1,2460.12,18.29
52,513,167,3,1797.81,0.05
53,773,458,4,1845.11,42.05
54,423,129,2,373.4,11.33
55,623,318,5,507.92,18.43
56,898,256,5,9537.77,30.51
57,311,19,2,5394.83,11.38
58,922,392,1,402.26,0.37
59,352,34,1,4934.0,39.85
60,225,424,5,1469.09,9.26
61,308,450,1,5426.75,41.54
62,901,248,2,5122.32,47.37
63,355,228,5,636.79,1.03
64,984,46,3,9541.06,8.44
65,562,170,4,9030.18,40.57
66,141,367,1,8341.28,35.82
67,98,277,1,5383.98,12.05
68,59,331,5,5352.4,7.88
69,310,95,4,4506.53,6.76
70,499,497,5,758.79,41.4
71,394,189,3,2604.14,25.02
72,932,51,5,9830.98,29.83
73,720,87,4,8654.79,13.58
74,340,128,5,7807.51,49.81
75,328,176,2,478.23,44.14
76,787,236,5,6234.43,15.42
77,366,459,2,3034.81,23.75
78,212,95,5,6514.27,8.87
79,591,407,2,6140.84,1.03
80,368,333,2,4782.83,22.45
81,52,488,2,7440.34,28.72
82,250,75,4,6001.0,10.44
83,745,27,4,2673.83,44.94
84,872,264,2,4061.3,10.48
85,54,373,5,7649.21,20.01
86,759,137,5,5182.18,2.51
87,478,493,2,1917.57,27.52
88,820,244,2,7692.28,16.28
89,955,237,4,1115.1,1.35
90,868,135,3,6541.88,17.01
91,465,180,5,5954.98,8.6
92,160,237,4,1064.31,2.56
93,175,469,3,2307.74,30.39
94,915,172,5,6668.68,49.86
95,9,338,3,9523.0,37.52
96,61,477,4,438.6,23.1
97,173,352,4,6282.54,31.4
98,740,277,3,3273.86,28.87
99,18,478,2,5051.19,5.43
100,376,458,1,7446.01,34.76
101,509,320,4,4585.37,44.48
102,208,436,4,6991.29,1.05
103,132,443,2,501.48,22.83
104,207,202,3,3608.27,35.03
105,988,212,1,3085.21,3.93
106,744,401,1,269.15,24.02
107,173,338,5,6173.68,44.49
108,396,282,3,9574.26,11.81
109,463,214,4,8924.56,37.57
110,21,348,3,2155.74,1.05
111,506,230,1,1648.06,27.52
112,434,178,3,659.55,43.75
113,518,262,3,5621.5,15.71
114,635,49,3,5952.84,13.96
115,760,234,5,143.75,41.89
116,64,317,1,9982.64,5.27
117,878,181,1,6150.78,38.29
118,126,468,1,7600.4,34.02
119,196,493,2,2138.64,10.99
120,933,223,1,8930.97,39.6
121,299,418,2,3062.35,35.43
122,276,280,1,5941.31,19.54
123,359,171,2,1389.38,46.8
124,357,272,1,6268.87,48.37
125,580,16,2,3669.33,30.92
126,447,362,4,9621.1,21.36
127,803,473,1,2050.72,2.79
128,805,474,5,1716.16,36.41
129,188,310,5,7965.63,37.69
130,463,435,2,7253.5,45.75
131,60,315,4,6232.5,28.08
132,81,431,4,7623.02,31.03
133,540,177,5,3135.92,30.5
134,906,173,2,140.98,37.06
135,353,153,1,7350.24,34.73
136,988,149,3,9709.1,12.59
137,961,33,5,9788.52,27.12
138,15,412,1,5572.46,29.3
139,414,292,3,113.72,42.61
140,834,327,1,8409.28,35.55
141,33,389,1,9965.08,19.75
142,734,311,1,8232.61,42.19
143,506,337,4,4667.08,7.3
144,634,167,3,6872.75,2.29
145,97,66,3,1398.97,10.88
146,393,465,3,3103.62,36.93
147,697,269,5,5431.23,24.75
148,796,334,5,5044.09,2.75
149,918,299,1,5343.5,44.71
150,602,464,2,342.46,40.62
151,124,196,4,1796.42,38.22
152,192,46,4,9483.74,6.62
153,238,74,2,2569.44,44.06
154,197,340,2,1601.31,47.83
155,521,409,2,9769.81,16.62
156,965,451,1,611.27,1.49
157,957,141,1,7917.07,46.35
158,904,260,4,6178.72,13.66
159,546,241,4,5802.27,31.21
160,94,369,3,425.98,22.61
161,324,489,4,3868.89,40.18
162,166,71,1,9560.25,34.1
163,832,15,1,8105.15,4.71
164,803,417,5,3050.03,25.64
165,132,51,4,6991.55,21.32
166,727,406,5,3804.75,22.46
167,500,300,5,9264.32,15.28
168,775,296,3,2112.61,6.43
169,67,11,1,4530.73,12.43
170,163,42,3,2114.42,2.23
171,362,89,1,6866.38,2.56
172,982,209,5,113.49,23.35
173,303,102,3,8780.18,33.32
174,720,238,4,4022.74,44.81
175,544,244,2,6313.24,42.7
176,559,93,4,7364.74,25.49
177,134,415,3,9562.79,38.2
178,621,172,1,1573.11,31.44
179,402,108,3,4019.74,1.3
180,871,337,2,8679.15,0.59
181,952,16,1,5212.18,20.1
182,379,350,3,1388.65,36.5
183,189,348,2,3264.32,37.06
184,901,297,5,5203.97,23.5
185,491,68,1,2338.53,8.18
186,250,395,2,7170.94,27.37
187,946,343,1,5999.36,10.39
188,935,458,1,8532.99,12.01
189,27,419,4,2849.99,49.26
190,616,124,4,9818.58,47.98
191,770,357,1,9110.41,37.12
192,449,48,3,9333.22,5.45
193,523,395,4,298.75,6.27
194,798,354,3,9181.7,29.27
195,17,90,3,1736.28,16.74
196,188,499,3,7520.48,1.1
197,905,101,4,6538.67,8.64
198,86,10,3,4740.03,25.1
199,836,155,1,9623.93,21.19
200,191,70,4,7203.66,47.84
201,857,478,1,3586.89,45.76
202,907,98,1,1477.42,0.52
203,391,131,5,6451.64,7.71
204,440,393,3,8264.9,24.1
205,751,168,1,7063.54,36.76
206,366,465,1,9602.32,23.19
207,624,62,4,755.13,23.21
208,313,234,4,5187.64,30.05
209,269,247,2,5502.73,37.99
210,562,463,1,9783.98,19.64
211,302,497,2,7713.6,9.13
212,876,423,5,5327.87,44.34
213,325,26,4,2710.33,22.43
214,153,349,2,9848.93,18.07
215,511,291,5,9637.16,27.58
216,71,113,3,5858.4,44.58
217,551,336,4,7940.87,18.75
218,435,129,4,2179.98,31.7
219,431,295,3,2103.09,44.0
220,514,367,4,3374.84,0.31
221,465,210,4,2634.6,5.15
222,529,390,4,3920.77,10.44
223,269,89,1,1652.58,23.21
224,935,52,4,1870.73,48.31
225,835,446,1,5947.09,47.46
226,793,258,1,9868.9,32.8
227,387,213,4,1584.7,15.93
228,819,266,3,4052.92,26.61
229,451,351,2,5754.3,33.47
230,153,120,2,6152.49,47.57
231,656,418,4,5001.44,27.47
232,921,31,5,7856.71,12.96
233,527,369,4,2526.55,32.53
234,915,52,2,4875.93,6.44
235,746,219,4,4254.5,47.75
236,361,290,1,6112.85,29.67
237,712,119,2,6398.16,3.82
238,942,76,3,4695.9,27.99
239,492,58,4,6698.71,27.01
240,353,240,4,5083.35,15.64
241,555,345,3,4633.03,42.73
242,626,431,5,8640.47,7.82
243,774,66,1,2670.65,33.17
244,216,107,5,9507.06,32.36
245,347,490,2,2644.61,34.37
246,520,270,3,8380.31,23.61
247,291,126,5,9594.23,18.01
248,262,276,3,4307.46,28.51
249,976,269,4,2762.44,19.33
250,501,83,5,9453.64,36.69
251,257,416,1,1798.15,37.63
252,142,92,5,5394.43,47.69
253,323,270,4,4122.46,25.52
254,96,266,2,3899.73,39.64
255,256,61,5,5234.69,9.47
256,643,21,5,3617.97,19.52
257,704,278,1,5669.06,5.66
258,392,147,1,1321.19,14.88
259,797,483,1,511.74,35.54
260,557,372,1,8815.42,43.61
261,769,95,3,7205.24,11.72
262,42,68,3,9339.33,40.87
263,560,14,5,4957.98,10.63
264,409,356,3,3978.76,9.78
265,769,289,2,904.31,20.39
266,451,279,5,6864.04,13.06
267,725,106,2,2643.72,20.5
268,842,169,5,9263.91,29.17
269,224,91,2,6755.99,10.81
270,924,297,5,1309.89,35.12
271,537,438,3,2401.73,10.07
272,625,24,1,9978.86,34.39
273,977,12,1,5194.34,6.39
274,336,328,3,5844.15,24.68
275,121,343,2,8872.88,14.32
276,137,443,5,7426.61,26.96
277,247,287,4,6941.11,19.87
278,675,468,5,7236.63,12.39
279,385,466,3,9426.54,31.68
280,11,67,5,4187.29,16.32
281,159,282,2,2145.64,20.62
282,644,242,2,9022.0,38.93
283,943,73,2,8498.72,34.43
284,86,162,5,3035.35,17.55
285,442,134,3,8989.42,24.67
286,168,460,5,945.93,47.98
287,802,219,3,8483.53,22.12
288,376,101,2,7546.56,17.91
289,922,161,4,4592.37,32.48
290,586,434,2,2858.21,42.36
291,265,457,5,3783.6,41.83
292,160,313,3,1704.56,40.07
293,595,460,1,9156.22,17.93
294,207,16,5,6372.3,18.31
295,365,78,4,9134.37,43.05
296,332,31,3,7130.97,43.09
297,7,372,4,7700.24,46.2
298,42,40,4,8628.81,29.48
299,84,40,5,8580.96,48.85
300,595,251,5,8521.16,14.82
301,955,284,4,1538.68,41.07
302,513,311,3,6153.78,15.41
303,505,15,2,1693.19,40.98
304,172,139,5,9624.16,49.66
305,547,197,3,9054.61,33.79
306,102,56,5,263.42,6.24
307,897,279,3,1199.63,20.65
308,834,282,1,9366.72,49.63
309,884,164,3,1376.14,35.03
310,626,300,5,8465.92,46.76
311,754,395,2,5355.58,37.56
312,983,147,3,147.61,11.66
313,374,29,2,2978.81,36.33
314,841,351,4,2704.97,10.45
315,48,211,1,4867.46,36.93
316,501,72,3,8765.34,9.64
317,419,459,5,1697.36,28.62
318,189,198,1,6780.67,26.71
319,687,485,3,6471.44,20.86
320,111,413,4,1176.31,38.98
321,393,414,2,5252.12,46.02
