order_id,customer_id,order_date,status,region
1,340,7/31/2025,DELIVERED,WEST
2,500,10/20/2025,DELIVERED,WEST
3,183,12/16/2025,DELIVERED,NORTH
4,372,3/2/2026,SHIPPED,SOUTH
5,341,11/4/2025,DELIVERED,NORTH
6,97,11/23/2025,RETURNED,WEST
7,214,4/24/2026,PLACED,WEST
8,326,9/15/2025,RETURNED,WEST
9,381,2/8/2026,RETURNED,NORTH
10,6,12/24/2025,PLACED,EAST
11,437,8/14/2025,CANCELLED,WEST
12,373,1/9/2026,PLACED,WEST
13,361,11/14/2025,SHIPPED,WEST
14,69,1/25/2026,RETURNED,EAST
15,245,9/8/2025,RETURNED,WEST
16,85,3/26/2026,RETURNED,SOUTH
17,377,8/5/2025,RETURNED,NORTH
18,91,5/29/2026,SHIPPED,EAST
19,450,9/16/2025,DELIVERED,SOUTH
20,1,9/19/2025,PLACED,NORTH
21,473,7/24/2025,CANCELLED,NORTH
22,182,11/4/2025,PLACED,SOUTH
23,418,5/11/2026,DELIVERED,WEST
24,96,7/12/2026,SHIPPED,NORTH
25,194,9/23/2025,PLACED,NORTH
26,221,10/8/2025,SHIPPED,WEST
27,399,1/16/2026,RETURNED,NORTH
28,17,2/7/2026,DELIVERED,SOUTH
29,319,5/28/2026,SHIPPED,EAST
30,466,5/3/2026,DELIVERED,NORTH
31,322,10/21/2025,DELIVERED,EAST
32,227,11/12/2025,RETURNED,WEST
33,257,3/10/2026,SHIPPED,NORTH
34,17,7/20/2025,CANCELLED,NORTH
35,40,11/22/2025,PLACED,WEST
36,303,3/28/2026,CANCELLED,NORTH
37,376,10/14/2025,PLACED,NORTH
38,127,11/9/2025,DELIVERED,EAST
39,151,2/28/2026,PLACED,WEST
40,28,4/28/2026,RETURNED,SOUTH
41,446,11/16/2025,RETURNED,NORTH
42,321,9/28/2025,CANCELLED,EAST
43,362,8/2/2025,CANCELLED,SOUTH
44,155,5/3/2026,RETURNED,WEST
45,137,2/24/2026,PLACED,WEST
46,302,2/26/2026,SHIPPED,WEST
47,164,1/31/2026,CANCELLED,WEST
48,334,12/14/2025,CANCELLED,EAST
49,389,1/1/2026,CANCELLED,SOUTH
50,15,1/5/2026,SHIPPED,EAST
51,204,7/27/2025,PLACED,EAST
52,40,7/7/2026,DELIVERED,WEST
53,474,3/27/2026,DELIVERED,NORTH
54,494,4/25/2026,DELIVERED,SOUTH
55,459,6/19/2026,RETURNED,SOUTH
56,292,4/17/2026,DELIVERED,SOUTH
57,421,3/19/2026,CANCELLED,SOUTH
58,430,5/11/2026,PLACED,NORTH
59,89,12/22/2025,DELIVERED,NORTH
60,422,10/22/2025,DELIVERED,NORTH
61,219,1/24/2026,SHIPPED,NORTH
62,314,5/7/2026,CANCELLED,SOUTH
63,312,11/1/2025,DELIVERED,NORTH
64,297,4/8/2026,DELIVERED,WEST
65,375,7/3/2026,DELIVERED,SOUTH
66,458,7/18/2025,SHIPPED,SOUTH
67,33,5/29/2026,SHIPPED,NORTH
68,327,6/28/2026,DELIVERED,EAST
69,38,6/27/2026,SHIPPED,NORTH
70,280,12/12/2025,SHIPPED,EAST
71,183,9/19/2025,SHIPPED,NORTH
72,48,10/29/2025,SHIPPED,WEST
73,409,9/28/2025,DELIVERED,WEST
74,186,10/24/2025,DELIVERED,SOUTH
75,417,12/21/2025,RETURNED,NORTH
76,179,1/15/2026,SHIPPED,EAST
77,137,11/5/2025,RETURNED,EAST
78,458,6/30/2026,CANCELLED,SOUTH
79,387,12/30/2025,PLACED,SOUTH
80,229,9/15/2025,SHIPPED,NORTH
81,395,1/29/2026,SHIPPED,EAST
82,212,1/9/2026,DELIVERED,WEST
83,355,2/13/2026,SHIPPED,SOUTH
84,189,7/22/2025,SHIPPED,NORTH
85,101,9/2/2025,SHIPPED,EAST
86,247,1/3/2026,CANCELLED,EAST
87,32,4/19/2026,PLACED,SOUTH
88,195,4/9/2026,PLACED,SOUTH
89,493,9/23/2025,CANCELLED,SOUTH
90,156,7/12/2026,CANCELLED,WEST
91,142,11/2/2025,RETURNED,SOUTH
92,13,3/11/2026,CANCELLED,SOUTH
93,213,12/30/2025,PLACED,EAST
94,402,12/18/2025,SHIPPED,EAST
95,453,12/25/2025,RETURNED,NORTH
96,396,1/14/2026,RETURNED,SOUTH
97,372,12/10/2025,DELIVERED,SOUTH
98,11,4/26/2026,PLACED,WEST
99,292,9/16/2025,DELIVERED,SOUTH
100,494,9/19/2025,RETURNED,SOUTH
101,373,3/7/2026,RETURNED,NORTH
102,494,1/16/2026,PLACED,EAST
103,423,4/30/2026,SHIPPED,WEST
104,43,11/15/2025,RETURNED,SOUTH
105,357,3/29/2026,RETURNED,WEST
106,150,8/26/2025,DELIVERED,NORTH
107,36,1/18/2026,SHIPPED,EAST
108,218,5/6/2026,PLACED,WEST
109,454,3/29/2026,DELIVERED,NORTH
110,391,9/1/2025,DELIVERED,EAST
111,4,7/8/2026,RETURNED,NORTH
112,45,7/27/2025,DELIVERED,SOUTH
113,299,3/22/2026,PLACED,WEST
114,367,5/22/2026,PLACED,SOUTH
115,482,12/8/2025,RETURNED,SOUTH
116,332,6/17/2026,RETURNED,NORTH
117,294,11/13/2025,RETURNED,NORTH
118,116,3/30/2026,PLACED,EAST
119,31,6/21/2026,RETURNED,NORTH
120,21,8/18/2025,CANCELLED,SOUTH
121,98,2/7/2026,RETURNED,SOUTH
122,164,6/4/2026,PLACED,SOUTH
123,108,6/27/2026,CANCELLED,EAST
124,277,12/21/2025,RETURNED,WEST
125,349,8/13/2025,PLACED,WEST
126,483,7/13/2025,DELIVERED,SOUTH
127,147,5/12/2026,PLACED,NORTH
128,9,9/26/2025,SHIPPED,WEST
129,168,6/13/2026,CANCELLED,NORTH
130,5,12/5/2025,DELIVERED,SOUTH
131,233,12/3/2025,SHIPPED,WEST
132,182,5/14/2026,SHIPPED,WEST
133,307,7/20/2025,CANCELLED,WEST
134,228,12/30/2025,DELIVERED,SOUTH
135,197,12/19/2025,PLACED,EAST
136,407,3/23/2026,CANCELLED,WEST
137,264,4/24/2026,PLACED,NORTH
138,254,3/29/2026,DELIVERED,NORTH
139,497,12/30/2025,PLACED,EAST
140,451,9/11/2025,CANCELLED,WEST
141,400,3/17/2026,DELIVERED,SOUTH
142,240,2/27/2026,SHIPPED,NORTH
143,269,9/10/2025,CANCELLED,EAST
144,226,7/29/2025,PLACED,WEST
145,453,12/26/2025,SHIPPED,EAST
146,17,12/20/2025,CANCELLED,WEST
147,107,5/19/2026,PLACED,WEST
148,176,1/7/2026,DELIVERED,EAST
149,243,8/25/2025,CANCELLED,WEST
150,426,12/31/2025,SHIPPED,EAST
151,326,6/25/2026,CANCELLED,EAST
152,10,11/26/2025,PLACED,NORTH
153,30,4/7/2026,RETURNED,SOUTH
154,418,8/20/2025,DELIVERED,NORTH
155,55,11/23/2025,SHIPPED,NORTH
156,388,8/13/2025,PLACED,NORTH
157,288,7/28/2025,CANCELLED,WEST
158,79,8/28/2025,CANCELLED,SOUTH
159,302,10/8/2025,CANCELLED,EAST
160,120,9/28/2025,CANCELLED,WEST
161,186,2/7/2026,RETURNED,SOUTH
162,210,3/23/2026,SHIPPED,SOUTH
163,303,8/3/2025,CANCELLED,SOUTH
164,74,3/10/2026,DELIVERED,NORTH
165,319,4/10/2026,PLACED,EAST
166,172,10/12/2025,PLACED,SOUTH
167,69,2/18/2026,SHIPPED,EAST
168,456,4/29/2026,SHIPPED,SOUTH
169,24,2/5/2026,PLACED,SOUTH
170,306,12/27/2025,RETURNED,NORTH
171,491,3/7/2026,RETURNED,NORTH
172,261,8/11/2025,CANCELLED,NORTH
173,54,5/11/2026,DELIVERED,EAST
174,458,10/28/2025,DELIVERED,EAST
175,284,5/17/2026,RETURNED,SOUTH
176,70,11/27/2025,PLACED,WEST
177,38,10/22/2025,CANCELLED,NORTH
178,239,10/15/2025,DELIVERED,SOUTH
179,333,1/14/2026,SHIPPED,EAST
180,225,12/23/2025,SHIPPED,WEST
181,12,1/7/2026,SHIPPED,SOUTH
182,480,10/28/2025,DELIVERED,NORTH
183,36,7/1/2026,DELIVERED,SOUTH
184,118,3/17/2026,DELIVERED,SOUTH
185,333,1/6/2026,PLACED,NORTH
186,39,2/3/2026,SHIPPED,SOUTH
187,398,10/10/2025,CANCELLED,WEST
188,220,12/1/2025,PLACED,EAST
189,317,8/2/2025,SHIPPED,EAST
190,349,12/16/2025,CANCELLED,EAST
191,285,7/21/2025,DELIVERED,NORTH
192,442,4/12/2026,DELIVERED,NORTH
193,133,1/8/2026,SHIPPED,NORTH
194,353,10/15/2025,DELIVERED,WEST
195,125,10/7/2025,CANCELLED,EAST
196,316,11/14/2025,DELIVERED,NORTH
197,264,7/26/2025,SHIPPED,SOUTH
198,320,9/17/2025,SHIPPED,EAST
199,54,10/17/2025,SHIPPED,SOUTH
200,159,2/7/2026,RETURNED,SOUTH
201,497,9/20/2025,PLACED,WEST
202,109,10/22/2025,CANCELLED,SOUTH
203,492,11/11/2025,SHIPPED,WEST
204,13,4/21/2026,SHIPPED,NORTH
205,182,11/29/2025,SHIPPED,EAST
206,489,11/13/2025,CANCELLED,WEST
207,370,2/19/2026,RETURNED,SOUTH
208,19,12/9/2025,RETURNED,EAST
