product_id,product_name,category,subcategory,cost_price
1,Chocolate Chip Energy Balls,Books,Fiction,3909.53
2,Dark Chocolate Covered Raisins,Home,Accessories,2044.43
3,Foam Building Blocks for Kids,Home,Fiction,1315.84
4,Savory Mushroom Risotto,Home,Women,1843.79
5,Coconut Curry Chicken,Books,Fiction,860.51
6,Vintage Graphic Tee,Home,Furniture,3317.39
7,Maple Glazed Carrots,Home,Accessories,4260.15
8,Smart Light Bulbs,Clothing,Accessories,2464.81
9,Ski Goggles,Books,Furniture,2642.87
10,Nut Mix,Electronics,Fiction,2644.18
11,Outdoor Inflatable Pool,Books,Men,3749.48
12,Cranberry Almond Biscotti,Books,"",834.63
13,Portable Leaf Blower,Books,Men,1456.5
14,Biodegradable Trash Bags,Clothing,Men,375.7
15,Electric Meat Grinder,Electronics,Education,2039.78
16,Cotton Quilted Throw Blanket,Books,Education,2472.13
17,Personalized Pet ID Tags,Home,Kitchen,2005.25
18,Whipped Cream Cheese,Electronics,Men,3411.68
19,Herbed Goat Cheese,Home,"",1700.49
20,Garlic & Herb Goat Cheese,Electronics,Furniture,3181.3
21,Toilet Paper (12 rolls),Clothing,Women,3298.71
22,Leather Notebook Cover,Home,Furniture,1983.61
23,Maple Pecan Pancake Mix,Electronics,Women,2828.04
24,Cold Brew Coffee Concentrate,Electronics,Education,1656.62
25,Athletic Compression Tights,Books,Kitchen,2837.55
26,Garden Hoses with Expandable Features,Books,Kitchen,4579.1
27,Wireless HDMI Transmitter,Books,"",1346.49
28,Cinnamon Sugar Tortilla Chips,Books,"",2767.31
29,Baking Powder,Clothing,Education,2162.64
30,Photo Album,Clothing,Accessories,2635.92
31,Roasted Garlic Pasta Sauce,Clothing,Kitchen,2546.9
32,Whisk Set,Electronics,Education,1377.41
33,Herb Seasoned Rice,Clothing,Laptops,3572.4
34,Chiffon Blouse,Electronics,Women,2480.05
35,Stainless Steel Mixing Bowls,Clothing,Women,4605.34
36,Utility Cargo Pants,Home,Laptops,2513.49
37,Eco-Friendly Beeswax Wraps,Clothing,Fiction,1781.06
