region_code,order_date,daily_revenue,running_total
EAST,2024-01-10,32103.19,32103.19
EAST,2024-03-08,18974.3,51077.49
EAST,2024-03-12,30886.3,81963.79
EAST,2024-05-09,8575.26,90539.04
EAST,2024-07-21,52077.33,142616.37
EAST,2024-07-22,26252.03,168868.41
EAST,2024-07-25,21782.36,190650.77
EAST,2024-07-26,14880.02,205530.79
EAST,2024-07-28,8335.48,213866.27
EAST,2024-08-09,26225.22,240091.48
EAST,2024-08-23,5181.36,245272.84
EAST,2024-08-24,25631.03,270903.87
EAST,2024-08-27,25944.07,296847.94
EAST,2024-08-30,10509.4,307357.34
EAST,2024-08-31,1363.25,308720.59
EAST,2024-09-20,40617.4,349337.99
EAST,2024-09-26,1960.35,351298.34
EAST,2024-10-05,43677.54,394975.88
EAST,2024-10-17,22150.14,417126.02
EAST,2024-10-25,22604.97,439730.99
EAST,2024-10-29,21866.56,461597.55
EAST,2024-11-01,23389.25,484986.81
EAST,2024-11-09,8308.58,493295.39
EAST,2024-11-30,34747.15,528042.53
EAST,2024-12-12,29634.92,557677.46
EAST,2024-12-15,33966.5,591643.96
EAST,2024-12-18,30502.11,622146.07
EAST,2024-12-24,23884.63,646030.7
EAST,2025-01-06,27418.41,673449.12
EAST,2025-01-09,11169.23,684618.35
EAST,2025-01-13,71072.7,755691.05
EAST,2025-01-30,65557.24,821248.29
EAST,2025-02-04,14795.45,836043.74
EAST,2025-02-09,25528.64,861572.38
EAST,2025-02-10,11567.64,873140.02
EAST,2025-02-12,29963.83,903103.85
EAST,2025-02-25,41570.93,944674.78
EAST,2025-03-21,10072.95,954747.73
EAST,2025-03-22,12451.69,967199.41
EAST,2025-03-26,10708.64,977908.05
EAST,2025-04-02,9588.73,987496.78
EAST,2025-04-03,13667.55,1001164.33
EAST,2025-04-20,37297.33,1038461.66
EAST,2025-04-23,15434.38,1053896.05
EAST,2025-04-30,1895.59,1055791.63
EAST,2025-05-03,20921.01,1076712.65
EAST,2025-05-09,35516.54,1112229.19
EAST,2025-05-11,5727.83,1117957.02
EAST,2025-05-15,33180.73,1151137.75
EAST,2025-05-22,25379.31,1176517.06
EAST,2025-05-31,30257.3,1206774.36
EAST,2025-06-03,5416.82,1212191.19
EAST,2025-06-08,52495.39,1264686.58
EAST,2025-06-11,29439.19,1294125.77
EAST,2025-06-17,11897.84,1306023.61
EAST,2025-06-23,5641.84,1311665.45
EAST,2025-07-01,2664.67,1314330.12
EAST,2025-07-03,90770.65,1405100.77
EAST,2025-07-05,12509.87,1417610.64
EAST,2025-07-06,23501.78,1441112.42
EAST,2025-07-07,43731.08,1484843.5
EAST,2025-07-09,22433.71,1507277.21
EAST,2025-07-16,25099.04,1532376.25
EAST,2025-08-02,6090.64,1538466.89
EAST,2025-08-06,21136.57,1559603.45
EAST,2025-08-13,22462.85,1582066.3
EAST,2025-08-19,1526.77,1583593.07
EAST,2025-08-21,5411.91,1589004.98
EAST,2025-08-22,60067.89,1649072.86
EAST,2025-08-30,14642.37,1663715.23
EAST,2025-08-31,42249.32,1705964.55
EAST,2025-09-04,19019.9,1724984.45
EAST,2025-09-06,20116.11,1745100.56
EAST,2025-09-11,51550.79,1796651.34
EAST,2025-09-12,56672.48,1853323.82
EAST,2025-09-17,52470.93,1905794.75
EAST,2025-09-21,19023.0,1924817.74
EAST,2025-09-22,8203.36,1933021.1
EAST,2025-09-25,16915.51,1949936.61
EAST,2025-09-28,32172.79,1982109.4
EAST,2025-10-01,52466.55,2034575.95
EAST,2025-10-13,7250.91,2041826.86
EAST,2025-10-15,80996.27,2122823.14
EAST,2025-10-19,51416.44,2174239.57
EAST,2025-10-29,26157.37,2200396.95
EAST,2025-11-02,739.32,2201136.26
EAST,2025-11-03,43968.57,2245104.84
EAST,2025-11-06,27215.84,2272320.67
EAST,2025-11-07,26793.53,2299114.21
EAST,2025-11-11,7682.81,2306797.01
EAST,2025-11-15,38291.31,2345088.33
EAST,2025-11-16,38482.99,2383571.32
EAST,2025-11-21,34734.06,2418305.37
EAST,2025-11-26,33136.24,2451441.61
EAST,2025-12-04,44011.85,2495453.46
EAST,2025-12-05,21474.22,2516927.69
EAST,2025-12-15,14626.91,2531554.6
EAST,2025-12-22,39368.0,2570922.61
EAST,2025-12-24,4691.86,2575614.46
EAST,2025-12-27,36097.52,2611711.98
EAST,2026-01-03,8827.41,2620539.39
EAST,2026-01-15,12711.1,2633250.49
EAST,2026-01-17,13473.24,2646723.74
EAST,2026-01-21,27109.46,2673833.19
EAST,2026-01-22,30930.82,2704764.01
EAST,2026-01-28,12702.2,2717466.21
EAST,2026-02-02,16867.7,2734333.9
EAST,2026-02-06,6388.8,2740722.7
EAST,2026-02-13,19930.95,2760653.66
EAST,2026-02-19,42841.68,2803495.34
EAST,2026-02-21,24967.27,2828462.61
EAST,2026-02-24,12314.47,2840777.07
EAST,2026-02-27,25135.91,2865912.98
EAST,2026-03-01,57240.15,2923153.13
EAST,2026-03-14,11980.91,2935134.04
EAST,2026-03-15,12692.42,2947826.46
EAST,2026-03-25,50204.45,2998030.91
EAST,2026-04-03,19028.39,3017059.3
EAST,2026-04-07,14962.69,3032021.98
EAST,2026-04-13,29541.82,3061563.8
EAST,2026-04-14,698.38,3062262.18
EAST,2026-04-17,13318.84,3075581.02
EAST,2026-05-14,9800.6,3085381.63
EAST,2026-05-31,12204.8,3097586.42
EAST,2026-06-02,34994.19,3132580.62
EAST,2026-06-04,53294.52,3185875.13
EAST,2026-06-06,16290.86,3202166.0
EAST,2026-06-07,44291.82,3246457.82
EAST,2026-06-20,17920.72,3264378.53
EAST,2026-06-22,9804.2,3274182.74
EAST,2026-06-23,36692.72,3310875.46
EAST,2026-06-29,4759.43,3315634.89
