category,product_name,total_revenue,rank_in_category
Books,Biography,1353237.69,1
Books,Comics,870636.87,2
Books,Dictionary,816775.99,3
Books,Cookbook,714546.11,4
Books,Novel,589797.4,5
Clothing,T-Shirt,876045.06,1
Clothing,Jacket,662841.68,2
Clothing,Hoodie,592596.18,3
Clothing,Shoes,528246.39,4
Clothing,Shirt,456269.4,5
Clothing,Jeans,220035.39,6
Electronics,Keyboard,1009107.32,1
Electronics,Monitor,652903.92,2
Electronics,Mouse,592806.82,3
Electronics,Phone,548529.82,4
Electronics,Speaker,528273.69,5
Electronics,Camera,407769.92,6
Electronics,Laptop,334318.59,7
Home,Fan,602640.43,1
Home,Cookware,585206.82,2
Home,Lamp,569791.35,3
Home,Table,556903.21,4
Home,Sofa,537051.67,5
Home,Chair,151795.14,6
