customer_id,order_date,previous_order,days_gap
1,2024-03-12,,
1,2026-05-31,2024-03-12,810.0
2,2024-11-13,,
4,2025-01-26,,
4,2025-08-08,2025-01-26,194.0
5,2026-05-30,,
6,2024-11-14,,
6,2025-03-17,2024-11-14,123.0
6,2025-08-19,2025-03-17,155.0
7,2025-01-24,,
8,2024-04-09,,
8,2025-11-03,2024-04-09,573.0
9,2024-08-10,,
9,2025-05-22,2024-08-10,285.0
10,2026-04-03,,
12,2024-09-26,,
12,2024-10-30,2024-09-26,34.0
12,2025-03-06,2024-10-30,127.0
13,2024-11-22,,
13,2025-09-16,2024-11-22,298.0
13,2025-11-24,2025-09-16,69.0
14,2025-10-02,,
16,2025-05-17,,
17,2025-12-28,,
17,2026-03-05,2025-12-28,67.0
18,2026-02-24,,
19,2025-10-22,,
19,2026-09-03,2025-10-22,316.0
20,2024-07-22,,
20,2025-01-09,2024-07-22,171.0
20,2025-09-02,2025-01-09,236.0
20,2025-10-19,2025-09-02,47.0
21,2025-09-28,,
23,2025-08-12,,
24,2025-03-28,,
24,2026-08-04,2025-03-28,494.0
24,2026-10-06,2026-08-04,63.0
27,2025-06-09,,
28,2026-02-23,,
31,2024-07-22,,
31,2025-11-21,2024-07-22,487.0
33,2025-05-09,,
34,2026-02-06,,
37,2025-03-08,,
37,2026-04-24,2025-03-08,412.0
37,2026-06-02,2026-04-24,39.0
37,2026-06-07,2026-06-02,5.0
39,2025-02-12,,
39,2025-12-22,2025-02-12,313.0
40,2024-08-15,,
41,2025-03-14,,
41,2025-05-10,2025-03-14,57.0
41,2025-05-31,2025-05-10,21.0
41,2025-09-21,2025-05-31,113.0
43,2024-12-08,,
44,2025-05-15,,
45,2025-05-24,,
45,2025-11-09,2025-05-24,169.0
46,2025-09-14,,
46,2026-03-01,2025-09-14,168.0
48,2025-02-08,,
51,2024-08-16,,
52,2026-11-03,,
54,2024-07-26,,
55,2024-08-29,,
55,2024-10-08,2024-08-29,40.0
55,2024-12-24,2024-10-08,77.0
55,2025-07-12,2024-12-24,200.0
56,2024-08-21,,
57,2025-11-16,,
58,2024-10-15,,
58,2024-10-29,2024-10-15,14.0
58,2025-02-23,2024-10-29,117.0
58,2025-03-07,2025-02-23,12.0
60,2024-05-11,,
61,2026-05-31,,
62,2026-05-15,,
63,2025-03-06,,
63,2025-06-21,2025-03-06,107.0
64,2025-01-13,,
65,2025-06-28,,
65,2025-12-11,2025-06-28,166.0
65,2026-10-03,2025-12-11,296.0
66,2025-11-07,,
68,2025-10-19,,
69,2026-05-03,,
71,2025-08-31,,
74,2024-09-14,,
76,2025-05-21,,
77,2024-07-12,,
78,2025-04-27,,
80,2024-07-16,,
80,2024-12-31,2024-07-16,168.0
80,2025-08-09,2024-12-31,221.0
82,2025-04-30,,
82,2025-05-19,2025-04-30,19.0
82,2025-11-30,2025-05-19,195.0
83,2024-10-26,,
84,2025-04-17,,
85,2024-07-21,,
85,2025-12-06,2024-07-21,503.0
87,2024-08-08,,
88,2024-11-09,,
89,2024-11-01,,
89,2025-11-04,2024-11-01,368.0
89,2026-04-02,2025-11-04,149.0
90,2024-09-29,,
91,2025-02-21,,
94,2025-08-05,,
94,2026-02-13,2025-08-05,192.0
95,2024-01-09,,
95,2024-09-11,2024-01-09,246.0
95,2025-05-09,2024-09-11,240.0
95,2025-07-10,2025-05-09,62.0
96,2025-07-02,,
97,2025-11-16,,
98,2024-10-23,,
99,2024-07-17,,
99,2026-01-15,2024-07-17,547.0
100,2026-02-27,,
101,2026-01-21,,
103,2024-10-27,,
104,2024-07-28,,
104,2024-11-30,2024-07-28,125.0
104,2025-04-03,2024-11-30,124.0
104,2025-05-03,2025-04-03,30.0
107,2025-07-30,,
107,2026-08-04,2025-07-30,370.0
109,2024-10-17,,
109,2025-04-07,2024-10-17,172.0
110,2025-09-06,,
111,2025-08-20,,
112,2026-02-01,,
112,2026-02-05,2026-02-01,4.0
113,2024-07-18,,
114,2025-01-17,,
115,2025-05-10,,
116,2025-06-03,,
116,2026-01-21,2025-06-03,232.0
117,2026-11-04,,
120,2026-06-03,,
121,2025-12-06,,
121,2026-04-03,2025-12-06,118.0
122,2024-11-24,,
122,2025-12-07,2024-11-24,378.0
123,2026-07-05,,
124,2024-04-12,,
124,2024-10-17,2024-04-12,188.0
124,2025-11-15,2024-10-17,394.0
124,2026-06-20,2025-11-15,217.0
125,2026-03-01,,
127,2025-01-06,,
127,2026-03-15,2025-01-06,433.0
128,2026-08-04,,
129,2025-05-28,,
130,2025-12-27,,
132,2025-06-23,,
132,2025-07-03,2025-06-23,10.0
133,2026-03-28,,
136,2024-07-13,,
136,2024-08-31,2024-07-13,49.0
136,2025-06-19,2024-08-31,292.0
136,2025-08-31,2025-06-19,73.0
136,2026-04-25,2025-08-31,237.0
137,2025-05-15,,
137,2025-07-03,2025-05-15,49.0
138,2025-08-22,,
138,2026-03-25,2025-08-22,215.0
139,2025-10-29,,
139,2026-02-01,2025-10-29,95.0
139,2026-06-25,2026-02-01,144.0
140,2025-05-14,,
140,2025-06-06,2025-05-14,23.0
141,2026-01-22,,
142,2025-05-30,,
143,2025-07-09,,
143,2025-11-18,2025-07-09,132.0
144,2025-03-22,,
145,2025-03-02,,
147,2025-08-12,,
148,2025-05-14,,
149,2026-08-01,,
149,2026-10-07,2026-08-01,67.0
152,2024-09-20,,
153,2024-08-30,,
153,2025-04-20,2024-08-30,233.0
153,2025-07-13,2025-04-20,84.0
153,2025-08-31,2025-07-13,49.0
154,2024-09-20,,
158,2024-01-08,,
158,2025-05-29,2024-01-08,507.0
158,2025-10-15,2025-05-29,139.0
158,2026-05-14,2025-10-15,211.0
159,2024-09-22,,
160,2024-11-26,,
160,2025-07-23,2024-11-26,239.0
161,2025-11-26,,
162,2024-12-22,,
162,2025-09-22,2024-12-22,274.0
163,2025-09-12,,
165,2026-01-23,,
166,2026-01-25,,
167,2024-12-15,,
168,2026-06-01,,
168,2026-06-29,2026-06-01,28.0
